Visitors,UniquePageviews,Date,Time,DayOfWeek,Month,Season,Weekend,SchoolHoliday,PublicHoliday,Cruiseship,EventInt,EventExt
4364,910,2016-03-24,1,Thu,Mar,Autumn,0,0,0,0,0,0
8116,970.571428571429,2016-03-25,2,Fri,Mar,Autumn,0,0,1,0,0,0
9268,972.714285714286,2016-03-26,3,Sat,Mar,Autumn,1,0,0,0,0,0
8360,1009.28571428571,2016-03-27,4,Sun,Mar,Autumn,1,0,0,0,0,0
6172,1033.28571428571,2016-03-28,5,Mon,Mar,Autumn,0,0,1,0,0,0
4421,1013.28571428571,2016-03-29,6,Tue,Mar,Autumn,0,0,0,1,0,0
3260,971.857142857143,2016-03-30,7,Wed,Mar,Autumn,0,0,0,0,0,0
3460,916.714285714286,2016-03-31,8,Thu,Mar,Autumn,0,0,0,0,0,0
4542,855.428571428572,2016-04-01,9,Fri,Apr,Autumn,0,0,0,1,0,0
5444,858.857142857143,2016-04-02,10,Sat,Apr,Autumn,1,0,0,0,0,0
5912,803,2016-04-03,11,Sun,Apr,Autumn,1,0,0,0,0,0
3982,727.285714285714,2016-04-04,12,Mon,Apr,Autumn,0,0,0,0,0,0
3103,732.857142857143,2016-04-05,13,Tue,Apr,Autumn,0,0,0,0,0,0
3084,778.428571428572,2016-04-06,14,Wed,Apr,Autumn,0,0,0,0,0,0
4253,804.714285714286,2016-04-07,15,Thu,Apr,Autumn,0,0,0,1,0,0
3736,838.428571428572,2016-04-08,16,Fri,Apr,Autumn,0,0,0,0,0,0
7173,859.142857142857,2016-04-09,17,Sat,Apr,Autumn,1,0,0,0,1,0
5315,928.714285714286,2016-04-10,18,Sun,Apr,Autumn,1,0,0,0,0,0
3577,995.571428571429,2016-04-11,19,Mon,Apr,Autumn,0,0,0,0,0,0
3232,1092,2016-04-12,20,Tue,Apr,Autumn,0,0,0,0,0,0
4178,1089.14285714286,2016-04-13,21,Wed,Apr,Autumn,0,0,0,1,0,0
3195,1124.28571428571,2016-04-14,22,Thu,Apr,Autumn,0,0,0,0,0,0
3895,1131.85714285714,2016-04-15,23,Fri,Apr,Autumn,0,0,0,0,0,0
6536,1093.28571428571,2016-04-16,24,Sat,Apr,Autumn,1,1,0,1,0,0
5926,1049.28571428571,2016-04-17,25,Sun,Apr,Autumn,1,1,0,0,0,0
5075,1044.42857142857,2016-04-18,26,Mon,Apr,Autumn,0,1,0,0,0,0
4873,996.142857142857,2016-04-19,27,Tue,Apr,Autumn,0,1,0,0,0,0
5622,995.428571428572,2016-04-20,28,Wed,Apr,Autumn,0,1,0,0,0,0
5258,1001.57142857143,2016-04-21,29,Thu,Apr,Autumn,0,1,0,0,0,0
5986,1025,2016-04-22,30,Fri,Apr,Autumn,0,1,0,0,0,0
7712,1056,2016-04-23,31,Sat,Apr,Autumn,1,1,0,0,1,0
8008,1077.28571428571,2016-04-24,32,Sun,Apr,Autumn,1,1,0,0,1,0
5476,1067.57142857143,2016-04-25,33,Mon,Apr,Autumn,0,1,1,0,0,0
4897,1117.28571428571,2016-04-26,34,Tue,Apr,Autumn,0,1,0,0,0,0
4966,1123.57142857143,2016-04-27,35,Wed,Apr,Autumn,0,1,0,0,0,0
4984,1176.57142857143,2016-04-28,36,Thu,Apr,Autumn,0,1,0,0,0,0
5099,1135.28571428571,2016-04-29,37,Fri,Apr,Autumn,0,1,0,0,0,0
5063,1120,2016-04-30,38,Sat,Apr,Autumn,1,1,0,0,0,0
5545,1076.57142857143,2016-05-01,39,Sun,May,Autumn,1,1,0,0,0,0
2346,1038,2016-05-02,40,Mon,May,Autumn,0,0,0,0,0,0
2175,935.285714285714,2016-05-03,41,Tue,May,Autumn,0,0,0,0,0,0
2512,896,2016-05-04,42,Wed,May,Autumn,0,0,0,0,0,0
2517,766.571428571429,2016-05-05,43,Thu,May,Autumn,0,0,0,0,0,0
3239,759,2016-05-06,44,Fri,May,Autumn,0,0,0,0,0,0
4270,754.285714285714,2016-05-07,45,Sat,May,Autumn,1,0,0,0,0,0
4376,730.142857142857,2016-05-08,46,Sun,May,Autumn,1,0,0,0,0,0
2491,726,2016-05-09,47,Mon,May,Autumn,0,0,0,0,0,0
2455,699.857142857143,2016-05-10,48,Tue,May,Autumn,0,0,0,0,0,0
2287,652.285714285714,2016-05-11,49,Wed,May,Autumn,0,0,0,0,0,0
2566,671.571428571429,2016-05-12,50,Thu,May,Autumn,0,0,0,0,0,0
3020,632.285714285714,2016-05-13,51,Fri,May,Autumn,0,0,0,0,0,0
4746,614.285714285714,2016-05-14,52,Sat,May,Autumn,1,0,0,0,0,0
4551,624.714285714286,2016-05-15,53,Sun,May,Autumn,1,0,0,1,0,0
2213,629.571428571429,2016-05-16,54,Mon,May,Autumn,0,0,0,0,0,0
2814,656.428571428572,2016-05-17,55,Tue,May,Autumn,0,0,0,0,0,0
2629,684.714285714286,2016-05-18,56,Wed,May,Autumn,0,0,0,0,0,0
2744,681.285714285714,2016-05-19,57,Thu,May,Autumn,0,0,0,0,0,0
3490,681.285714285714,2016-05-20,58,Fri,May,Autumn,0,0,0,0,0,0
5191,688.285714285714,2016-05-21,59,Sat,May,Autumn,1,0,0,0,0,0
5048,686.142857142857,2016-05-22,60,Sun,May,Autumn,1,0,0,0,0,0
2333,668.285714285714,2016-05-23,61,Mon,May,Autumn,0,0,0,0,0,0
3032,671,2016-05-24,62,Tue,May,Autumn,0,0,0,0,0,0
2232,648.285714285714,2016-05-25,63,Wed,May,Autumn,0,0,0,0,0,0
2507,640,2016-05-26,64,Thu,May,Autumn,0,0,0,0,0,0
3231,669.714285714286,2016-05-27,65,Fri,May,Autumn,0,0,0,0,0,0
4811,689,2016-05-28,66,Sat,May,Autumn,1,0,0,0,0,0
4216,713.857142857143,2016-05-29,67,Sun,May,Autumn,1,0,0,0,0,0
2745,719.285714285714,2016-05-30,68,Mon,May,Autumn,0,0,0,0,0,0
2139,746.142857142857,2016-05-31,69,Tue,May,Autumn,0,0,0,0,0,0
2140,764.714285714286,2016-06-01,70,Wed,Jun,Winter,0,0,0,0,0,0
2464,786.714285714286,2016-06-02,71,Thu,Jun,Winter,0,0,0,0,0,0
3397,812.857142857143,2016-06-03,72,Fri,Jun,Winter,0,0,0,0,0,0
6083,774.285714285714,2016-06-04,73,Sat,Jun,Winter,1,0,0,0,0,0
6694,746.714285714286,2016-06-05,74,Sun,Jun,Winter,1,0,0,0,0,0
4469,775,2016-06-06,75,Mon,Jun,Winter,0,0,1,0,0,0
2314,762.714285714286,2016-06-07,76,Tue,Jun,Winter,0,0,0,0,0,0
2265,745.428571428572,2016-06-08,77,Wed,Jun,Winter,0,0,0,0,0,1
2438,698.571428571429,2016-06-09,78,Thu,Jun,Winter,0,0,0,0,0,1
3017,677.857142857143,2016-06-10,79,Fri,Jun,Winter,0,0,0,0,0,1
4528,700.571428571429,2016-06-11,80,Sat,Jun,Winter,1,0,0,0,0,1
4571,706.714285714286,2016-06-12,81,Sun,Jun,Winter,1,0,0,0,0,1
2467,681.285714285714,2016-06-13,82,Mon,Jun,Winter,0,0,0,0,0,0
1793,691.571428571429,2016-06-14,83,Tue,Jun,Winter,0,0,0,0,0,0
2374,714.428571428572,2016-06-15,84,Wed,Jun,Winter,0,0,0,0,0,0
2723,720.714285714286,2016-06-16,85,Thu,Jun,Winter,0,0,0,0,1,0
3709,703.571428571429,2016-06-17,86,Fri,Jun,Winter,0,0,0,0,1,0
6329,682.857142857143,2016-06-18,87,Sat,Jun,Winter,1,0,0,0,0,1
6033,676.714285714286,2016-06-19,88,Sun,Jun,Winter,1,0,0,0,0,0
2712,685.571428571429,2016-06-20,89,Mon,Jun,Winter,0,0,0,0,0,0
